fecha,titulo,cuerpo,fuente
2026-07-30 10:39:35+00:00,Microsoft Shares Jump After Strong Outlook and Solid AI-Driven Growth - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOWm5Ca0pFa1hIVVF3cE9XcDRGWkZuRzdKejBJV25PY1IxOUVJcmxvVkQ0Zll0aXFaNkE2b0gyWEc3dzlfcXBZd2ZITEYyMDVkcFFyczgwd1JsOEROWGxiS3Y2VzdTMktyekE4NTBjMURoVnRySmtiRTlPVnNJNHVaUkZCZndnX0ZQeDg3bkxDdUVIRmRQMTVwNUxldHZpbmY4X1E?oc=5"" target=""_blank"">Microsoft Shares Jump After Strong Outlook and Solid AI-Driven Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance
2026-08-02 08:48:48+00:00,"Helium Advisors LLC Acquires 7,062 Shares of Microsoft Corporation $MSFT - MarketBeat","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQODViMFU4Skd5d2J2a3RPLUlwYXdOZG92bENnMXZnbkl2NHdtSnIycC0xbUlaeElOSzBxWF9VUi1sUjdaOVp2dnZ6bnRkVWRFMkRJX25aSXdBS1RIdnRiRzlyV3BnWmtCa1hmbXZpTlJXWkZkdDA1S211eTdyd3U5WkkyNWNLRy1tS08tUjBoeldwV1FGSHVBdUFGenFpLWlpWWhaUmVVN2NYRGlselIwd0RTTFREVFBWLWUwaGxNaFFhdXg1VnowdVRiZw?oc=5"" target=""_blank"">Helium Advisors LLC Acquires 7,062 Shares of Microsoft Corporation $MSFT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",MarketBeat
2026-08-02 08:48:47+00:00,"Windmill Hill Asset Management Ltd Sells 9,276 Shares of Microsoft Corporation $MSFT - MarketBeat","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPc3J3UXZyaE04OGZPR3BacHpFVW9Fc094dVJDR0JTZDgxQUpELXZvNW05NVc4dk1CTHE4aHcyNldDTmhtTDExelZLWm9rcUg5VktTOVRCR2Q2V1NRb05laXk2VUxWRzRVWG1SUmhySHl2elRhWjRLLVViVDNoT1E0WVBCYndGNFFoRlEwanRfXy1fbzZScWpVQS1IUUxnMEpBMkk3WWxWS1lwTGJONG5Yd0V2b3oxQVdmNTl2WnUtaGdsSXZRUzNIc25ieVRhbTQxVUxwcFhJbGVQelU?oc=5"" target=""_blank"">Windmill Hill Asset Management Ltd Sells 9,276 Shares of Microsoft Corporation $MSFT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",MarketBeat
2026-08-02 08:48:47+00:00,"Prosperity Consulting Group LLC Sells 3,332 Shares of Microsoft Corporation $MSFT - MarketBeat","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNaGVpam5NZkRKOXlYbEVOdTVNZlAwcDVkSFktb3pleVFPSjN1NG5YdHkzWDVaekdFMURTYlptb2lYSmU2eWVmZDRrZVotaUx2bEN4SlFYRFo4UjFKaHVQTmVxVDhjczFLRlpMTElmSDVJc254WGFXRGpXX1RFMTdhWk5CQmFtazFMY3ZEalVOX2FPcnl1YnJpQ1dXMjhoZlVtcDhXR205Tll6TGQ3dDg5Tk9kSU9GZlZEenhISTFDRjFma0tES0ZOQXJ6LW9HM3A3UVczMXBqTQ?oc=5"" target=""_blank"">Prosperity Consulting Group LLC Sells 3,332 Shares of Microsoft Corporation $MSFT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",MarketBeat
2026-07-31 21:47:22+00:00,Wells Fargo resets Microsoft stock price target - thestreet.com,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQdV84NWYzTFZKUFVZXzZWaGhfX29QTWhlanVwMG5JOEdxSmFpeWhjU0paRzFVdmtRQ3BMbVphX29YekVLeW5ZLTRQcF80SWlGemUtc3dlWHBxMHE2RlpHMVQ5YldsZ1JvMzZ4Vm9nU0MxalJ1SmJRN1VSalF2MDFNUEo1NzhUNk1aU25XMm04Z2FBYnU4amZvcDg3WVZ5OExUNDZSakRqVlgxQmpNeVJidg?oc=5"" target=""_blank"">Wells Fargo resets Microsoft stock price target</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thestreet.com</font>",thestreet.com
2026-07-29 22:20:00+00:00,Microsoft pops as Q4 results top estimates; Azure tops $100B in revenue (MSFT:NASDAQ) - Seeking Alpha,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPeG45Y003b2gwR3BkUnFBVGxDc3hrZFhtM3N2TkVDejFnQ0VObEM3SlVzaXpSOUZRQU96aVhBQ0djUjcwYW1PQ043NmY3ZEFIY2I0VllsczE2cmlkNlBEem1DLVhMTkM0RVBQeEhsR2hmVkdVUk9pUWNvcm1QN1AtY3pQZ1dudFRhNG5nRnNubHZZdktLclJyRVlycmJOZnY1YWREc0VWNk1QNVk?oc=5"" target=""_blank"">Microsoft pops as Q4 results top estimates; Azure tops $100B in revenue (MSFT:NASDAQ)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seeking Alpha</font>",Seeking Alpha
2026-07-31 05:37:39+00:00,Microsoft (MSFT) Stock Price Rallies On AI Growth And Margin Strength - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQZGQ5OHRPVkZHYWVaZTJmdXRMbi1famg2MkFwV1NkQ3BDMGZjWXFIR3BHSC0yS2JxQWdkY2ZYSVp1TlhtWDd0V29lazVaT3Z2cTFnN0lKWWE4cDR1UzBiMDVLWEYwN1hmTm9mM0xkd2ktM3RaSllYMlc1SzVCMnRiNFB2UFBJMTJzUEo4VjJJYXNDeG1UY0Y5bXRRckJHcndPeURibWtJdEExSnAzYll1Z1Rld3RJOXF5RnJuVUZFWUtwYzhOZkFn0gHMAUFVX3lxTE1PS2dJbmQtcURqTFVmZm4tdl9UVGlORTJPYkQybzdDY0ZjdkcyZXZmZEMyQXczVndydkRCNmFmblRWTU5USHZZQkNzTnItZ3FuR0RIV3RFeGR3dW5GZnlfUm5EYW45ZjMwLUF2djREVjhzd3FuZVlmVlhma3QyNUFtcXM3ZC1xTkRRMmYxcDJ2ZTFWblMzSlVQUUtYbDdlMUVKUm4wUFV4WXlfdDM5TlpXdEpoN1JaLVY5aHo4SkNacFpIb1IwLUV5TUk0aA?oc=5"" target=""_blank"">Microsoft (MSFT) Stock Price Rallies On AI Growth And Margin Strength</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",simplywall.st
2026-07-30 16:00:42+00:00,$19.6 Billion: The Microsoft Earnings Number That Matters Most - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPUFRqTVVYeWpuNmtZYVNiMmg3REtwMUt1ZVBlOFl0S3dkSFpHTTVOeGdIX21LQl8xQ0VfTmwycmg1Y3Q1OTIyOWdibmhLUTVpTWI2c0dIQW1oMUt6SDdvaGh3cU1QMTcxSF9TSFFTUjAxd29QZ3NJNHZpZWNzeDJZN1ZaMVVaVkhfWU1qLTJkWDN0U2tmekpad1NKWHY?oc=5"" target=""_blank"">$19.6 Billion: The Microsoft Earnings Number That Matters Most</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance
2026-07-13 07:00:00+00:00,Prediction: Microsoft Stock Could Go Parabolic After July 29. Here's Why. - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOXRkdUVjR1pXMERxbjBETUJjblMyQi1OWi1hSV9tMFBGMkVDV2pPcHNqNFp2ZW9pOTRiaWhPSTY3aTR3dGdSM3VITmxOVjBhbkJlajBsQUdZSC1vTXFwX203WkZsR3VqM3BpOS16NHVYTFlFengwOXVYUTR6ZjZ6Y2hnUnp1WFFvcjhoRXM0cnlwRWY5NjdraEFqb244b0RhakRfcnF6dHBTSVk?oc=5"" target=""_blank"">Prediction: Microsoft Stock Could Go Parabolic After July 29. Here's Why.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance
2026-07-31 14:10:37+00:00,"Microsoft Eases AI Spending Concerns, Giving MSFT Stock More Room to Rally - barchart.com","<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNanNPNUxCdXROZmd3Rzh2R01ycjhpWC1jMmNkRFpqeVFmX29CUTJ5ZW1KT2ZPb2c3b0FhRWZjSE4wWm95MmNhREZhaV8tU1FST3lBTXp3bFdhZXBVUzRULWRDQy1JRlZsSWV5ay04VGF4NTBCWGFSS3JTRXRxZmdfU2tpYjloa3lHX3hnMHlUenNSTUdjZWR3eENyRUZGdGJ4ZU1ZX0t6TG0tTTVteW5MUS0wWmdWVjVf?oc=5"" target=""_blank"">Microsoft Eases AI Spending Concerns, Giving MSFT Stock More Room to Rally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">barchart.com</font>",barchart.com
