ticker,baseline_accuracy,baseline_auc,sentiment_accuracy,sentiment_auc,delta_accuracy,delta_auc
AAPL,0.6801801801801802,0.5616476546709105,0.6824324324324325,0.5723346421020838,0.0023,0.0107
AMZN,0.6174568965517241,0.5777104297139198,0.6217672413793104,0.575624590189326,0.0043,-0.0021
GOOGL,0.6193693693693694,0.5572912985085178,0.6114864864864865,0.5607386181359462,-0.0079,0.0034
META,0.580226904376013,0.5132129833881061,0.593192868719611,0.5080583442128483,0.013,-0.0052
MSFT,0.5349099099099099,0.5421852033317002,0.5540540540540541,0.5404581087702107,0.0191,-0.0017
NVDA,0.5281531531531531,0.503404795788765,0.5518018018018018,0.5473024325799426,0.0236,0.0439
TSLA,0.6213183730715287,0.58989884012126,0.6129032258064516,0.58809476736523,-0.0084,-0.0018
