ticker,wf_accuracy_media,wf_accuracy_std,wf_auc_media,wf_auc_std,n_folds
AAPL,0.5669,0.1217,0.5201,0.0501,5
MSFT,0.5957,0.0624,0.5758,0.0311,5
GOOGL,0.6453,0.028,0.6259,0.0551,5
AMZN,0.5959,0.038,0.5731,0.0385,5
META,0.5815,0.0883,0.5638,0.0752,5
TSLA,0.5628,0.0558,0.5636,0.0362,5
NVDA,0.491,0.0464,0.5013,0.0357,5
