dia,sentiment_real,n_noticias
2018-07-24,0.0015,1
2019-02-01,0.4391,1
2024-03-07,-0.4215,1
2026-01-15,0.9081,1
2026-07-13,0.4767,1
2026-07-24,0.7227,1
2026-07-25,0.065,8
2026-07-26,0.11402,15
2026-07-27,0.2251909090909091,33
2026-07-28,0.123216,25
2026-07-29,0.22405,24
2026-07-30,0.5072189189189189,37
2026-07-31,0.19135909090909092,22
2026-08-12,0.29106666666666664,3
2026-08-13,0.34942307692307695,26
2026-08-14,0.45305,12
2026-08-15,0.59945,8
2026-08-16,0.09048,5
2026-08-17,0.4659071428571428,14
2026-08-18,0.25504642857142856,28
2026-08-19,0.15644285714285716,35
2026-08-20,0.33350769230769234,26
2026-08-21,-0.040579999999999984,15
2026-08-22,0.4306916666666667,12
2026-08-23,0.2417,7
2026-08-24,0.5449499999999999,14
2026-08-25,0.43981,30
2026-08-26,0.5728227272727273,22
