dia,sentiment_real,n_noticias
2022-06-02,0.101,1
2023-05-18,0.4215,1
2026-07-13,0.4767,1
2026-07-25,0.29573333333333335,3
2026-07-26,-0.8074,1
2026-07-27,0.15554,10
2026-07-28,-0.11803,30
2026-07-29,0.5498695652173913,23
2026-07-30,-0.013085714285714272,14
2026-07-31,-0.3464384615384616,26
2026-08-01,-0.19246666666666667,3
2026-08-02,0.41376666666666667,3
2026-08-03,0.2466731707317073,41
2026-08-04,-0.09853636363636363,11
2026-08-05,0.06587692307692307,13
2026-08-06,-0.06508750000000002,8
2026-08-07,-0.06790000000000002,9
2026-08-08,-0.23653333333333335,3
2026-08-09,0.34,1
2026-08-10,0.32337777777777776,9
2026-08-11,0.14673846153846154,13
2026-08-12,-0.41973333333333335,3
2026-08-13,-0.2984,7
2026-08-14,0.148,2
2026-08-15,0.01695000000000002,2
2026-08-16,-0.27032,5
2026-08-17,0.05134999999999999,10
2026-08-18,-0.12941111111111112,9
2026-08-19,-0.15155,6
2026-08-20,0.005399999999999998,6
2026-08-21,-0.1705,6
2026-08-22,-0.25076666666666664,3
2026-08-23,0.1779,1
2026-08-24,0.07229999999999999,17
2026-08-25,-0.18663749999999998,8
2026-08-26,-0.24344999999999997,2
