timestamp,close,high,low,open,volume,return,volatility,rsi,hl_range,oc_range,ma_50,ma_200,log_volume,vwap,vwap_ratio,lag_1,lag_5,lag_20,target
2007-10-17,15.713518142700195,15.72641665524544,15.418585074826098,15.63835890239532,240978780,0.0283766947307111,0.0147478670309787,76.03374730584068,0.01959023928466,-0.0047830943791407,13.565621662139892,12.45263650894165,19.30021944193553,15.619506624257246,1.0060188532649903,-0.0066279109562712,0.0165968234278803,0.0216338073328863,1
2007-10-18,15.86582088470459,15.909228699213232,15.589986532396384,15.761389736885723,491076432,0.0096924661060162,0.0147351652913393,77.27508814231355,0.0201213772131143,-0.0065821458957438,13.62209785461426,12.473972597122192,20.012110341668222,15.788345372104734,1.004907133127246,0.0283766947307111,-0.0054206229824971,0.0109353699528318,1
2007-10-19,15.99207878112793,16.333892652580456,15.95536741398966,16.236408451130735,630928440,0.007957854644953,0.0146745078758862,75.38383050976398,0.0236695456401509,0.0152781682323336,13.686581134796144,12.493996486663818,20.262703008369343,16.093779615899347,0.9936807364585168,0.0096924661060162,0.0247428302071759,0.0131506748331433,1
2007-10-22,16.14189910888672,16.24732186805951,15.782970742968455,15.84225473871396,266309424,0.0093684085608427,0.0145936276617164,76.20019942298855,0.0287668211750508,-0.0185631423013784,13.753554763793945,12.51428206920624,19.400169442572437,16.05739723997156,1.0052624885373582,0.007957854644953,-0.0271105672479631,0.014140245829874,1
2007-10-23,16.76252555847168,16.807918493088504,16.37135038467896,16.402355971006152,271476252,0.038448168050021,0.0161342211821931,80.32249525442309,0.0260442918870842,-0.0214865943803736,13.833064975738523,12.538118500709531,19.41938522758288,16.647264812079715,1.0069237047462791,0.0093684085608427,-0.0066279109562712,0.0017251692020205,1
2007-10-24,16.76376724243164,16.804696510533944,16.36043746554252,16.686623824461005,295871832,7.407499279454832e-05,0.0160861137080982,83.06798921668783,0.0265011461067614,-0.0046017948623966,13.916023120880126,12.56172302722931,19.505436921896607,16.642967072836033,1.0072583313460235,0.038448168050021,0.0283766947307111,-0.0014762470378604,1
2007-10-25,16.582439422607422,16.84190134700534,16.459405855953314,16.83470767303268,231588180,-0.0108166510070153,0.016540397801988,76.85366947855852,0.0230662981063302,0.0152129758472888,14.00083662033081,12.583929767608645,19.260471270409298,16.62791554185536,0.9972650739574984,7.407499279454832e-05,0.0096924661060162,-0.0011616038957782,1
2007-10-26,16.73349952697754,16.781620564525088,16.57127417559096,16.719361738945455,134021844,0.0091096430700161,0.0164115580624273,75.15475687037525,0.0125703764831145,-0.0008448793397514,14.091662826538084,12.60561930656433,18.71351336701654,16.695464755697863,1.0022781498949704,-0.0108166510070153,0.007957854644953,-0.0004052659644269,1
2007-10-29,16.848346710205078,16.867447281398526,16.67123868201238,16.812130681126423,122529348,0.0068633093180767,0.0158501183364062,74.9745819300837,0.0116455699043338,-0.0021495301409437,14.180559196472167,12.627228236198423,18.62386114292694,16.795677557871993,1.0031358754150648,0.0091096430700161,0.0093684085608427,0.0269359685171397,1
2007-10-30,17.233821868896484,17.361319108980343,16.80568576614031,16.80568576614031,275747976,0.0228791088717281,0.0161549937659221,75.9732988989072,0.0322408660752631,-0.024842783336926,14.278216800689698,12.650853834152224,19.43499787971558,17.13360891467238,1.0058489110334652,0.0068633093180767,0.038448168050021,0.0031585664507696,1
2007-10-31,17.537185668945312,17.537185668945312,17.265321552180236,17.380664203378927,274796928,0.0176028162735242,0.016108448100334,79.84544083745263,0.0155021519357288,-0.0089251188030444,14.377630558013916,12.676864433288577,19.43154294284973,17.446564296690287,1.0051942245312,0.0228791088717281,7.407499279454832e-05,-0.0006330268988405,1
2007-11-01,17.44317626953125,17.703876513377725,17.407703234625515,17.432757258959086,260826912,-0.0053605750197726,0.0159331953307912,75.16052491396925,0.0169793204044809,-0.000597311545281,14.472118034362794,12.703577017784118,19.37936757671104,17.51825200584483,0.9957144276558796,0.0176028162735242,-0.0108166510070153,-0.0085444298767297,0
2007-11-02,17.642610549926758,17.700405721945707,17.29757129333053,17.624254863792245,233426340,0.0114333695488628,0.0154876899690825,87.48762524287761,0.0228330397859883,-0.0010404178045288,14.570872020721437,12.731048650741576,19.2683771292037,17.54686252173433,1.0054567036171755,-0.0053605750197726,0.0091096430700161,0.025939985940772,0
2007-11-05,17.999799728393555,18.11340683176334,17.514116174661986,17.536937418188913,354992652,0.0202458234543005,0.0151967422315179,91.58131656536102,0.0332942958335258,-0.025714858897819,14.67537576675415,12.761411290168764,19.68760765145088,17.875774244939624,1.006938188061367,0.0114333695488628,0.0068633093180767,0.026210061301221,0
2007-11-06,18.400156021118164,18.400156021118164,17.983679143912838,18.29523046749331,337114548,0.0222422637343611,0.0154890772850121,91.4948820164596,0.0226344209650901,-0.0057024273872693,14.78874984741211,12.793997716903686,19.635933338572865,18.26133039538305,1.007602163847285,0.0202458234543005,0.0228791088717281,0.009120269521992,0
2007-11-07,18.18062973022461,18.535341151577025,17.9375402949508,18.383782463309696,330609060,-0.011930675513925,0.0161039142510363,85.02471929086063,0.0328811963885059,0.0111741307149198,14.901136646270752,12.823003535270692,19.61644715071911,18.21783705891748,0.9979576429093894,0.0222422637343611,0.0176028162735242,0.0165968234278803,0
2007-11-08,17.210750579833984,18.228998475048797,16.797497215625786,18.22180480187446,659827512,-0.0533468402790381,0.0210317338247061,64.68931558535331,0.0831748303354249,0.0587455042910875,14.990911140441897,12.84852174758911,20.30748901488907,17.412415423502853,0.9884183303255752,-0.011930675513925,-0.0053605750197726,-0.0054206229824971,0
2007-11-09,16.469825744628906,16.91408476395516,16.401363895541337,16.762773717068093,455068476,-0.0430501175278914,0.023155575560102,53.45968050056152,0.0311309224738476,0.0177869503285256,15.066601390838622,12.869374146461489,19.9359584644925,16.5950914680418,0.9924516400735648,-0.0533468402790381,0.0114333695488628,0.0247428302071759,0
2007-11-12,15.678542137145996,16.61766154558108,15.533184560736984,16.315289049768477,408682908,-0.0480444431988578,0.0249580797031337,38.96128958868488,0.069169504113187,0.0406126352216054,15.124555931091308,12.886688084602357,19.828450129700727,15.94312941448802,0.9834043072433706,-0.0430501175278914,0.0202458234543005,-0.0271105672479631,0
