timestamp,close,high,low,open,volume,return,volatility,rsi,hl_range,oc_range,ma_50,ma_200,log_volume,vwap,vwap_ratio,lag_1,lag_5,lag_20,target,volatility_21,momentum_10,momentum_21,momentum_63,day_of_week,quarter,bb_upper,bb_lower,bb_position,bb_width,atr_14,atr_ratio,obv,obv_change,volume_ratio,rsi_change,rsi_ma,vol_5,vol_63,vol_ratio,month,week_of_year,rolling_max,drawdown,sentiment_score,sentiment_ma5,sentiment_vol
2013-03-07,28.331207275390625,28.430337140422115,27.23086936595643,27.32999923098792,74540200,,,,0.04233733362670994,-0.03533940628334559,,,18.126849148550523,27.997471260589723,1.0119202199261004,,,,0,,,,,3,1,,,,,,,,,,,,,,,3,10,,,,0.0,0.0
2013-03-08,27.71660423278809,28.222164853868332,27.488606861735708,28.1825140414329,44198900,-0.021693499914364756,,,0.026466373224207692,0.016809772392450927,,,17.604210482485414,27.809125316130707,0.9966729955620377,,,,0,,,,,4,1,,,,,,,-44198900.0,,,,,,,,3,10,,,,0.0,0.0
2013-03-11,27.895038604736328,28.390686067596576,27.58773770717158,27.766171096320477,35642100,0.006437815053012663,,,0.028784629833373376,-0.004619728627798734,,,17.38903810944665,27.957820793168164,0.9977543962064748,-0.021693499914364756,,,0,,,,,0,1,,,,,,,-8556800.0,,,,,,,,3,11,,,,0.0,0.0
2013-03-12,27.58773803710937,28.073472329632192,27.359740655245712,27.85538812403369,27569600,-0.011016316269760629,,,0.025871337237812358,0.00970177716506852,,,17.13222431064281,27.673650340662423,0.9968955196551423,0.006437815053012663,,,0,,,,,1,1,,,,,,,-36126400.0,,,,,,,,3,11,,,,0.0,0.0
2013-03-13,26.84426689147949,27.409304704589985,26.6856598523869,27.37956706647578,39619500,-0.026949333237462625,,,0.026957147130465018,0.019940949669450567,,,17.494832004506197,26.979743816152126,0.9949785688998452,-0.011016316269760629,,,0,,,,,2,1,,,,,,,-75745900.0,,,,,,,,3,11,,,,0.0,0.0
2013-03-14,26.804615020751957,27.19121942696156,26.59644210843103,26.86409218538152,27646400,-0.001477107603192418,,,0.02218936246874115,0.0022189150854625525,,,17.13500611471207,26.864092185381512,0.997785997597867,-0.026949333237462625,,,0,,,,,3,1,,,,,,,-103392300.0,,,,,0.01381554489817702,,,3,11,,,,0.0,0.0
2013-03-15,26.418006896972656,26.824437626868782,26.32879021082523,26.79469999198287,31597400,-0.0144231925539684,,,0.01876172634735558,0.014258952103361781,,,17.26858542833924,26.523744911555553,0.9960134583206299,-0.001477107603192418,-0.021693499914364756,,0,,,,,4,1,,,,,,,-134989700.0,2.054141618909068,,,,0.012741624587678978,,,3,11,,,,0.0,0.0
2013-03-18,26.259401321411133,26.55679092186377,25.55558285942196,26.14044699382604,26653700,-0.0060036919582945325,,,0.03812760428873346,-0.004529971042717638,,,17.09843857323042,26.123925034232286,1.0051859085876766,-0.0144231925539684,0.006437815053012663,,0,,,,,0,1,,,,,,,-161643400.0,17.890636686611817,,,,0.00970831648567293,,,3,12,,,,0.0,0.0
2013-03-19,26.318878173828125,26.66583175821229,25.98183776508292,26.299053713295116,25254200,0.0022649736636797257,,,0.025988721426946818,-0.0007532410918913191,,,17.044503076084276,26.322182565707777,0.9998744636060706,-0.0060036919582945325,-0.011016316269760629,,0,,,,,1,1,,,,,,,-136389200.0,2.775333274281412,,,,0.011657148155394715,,,3,12,,,,0.0,0.0
2013-03-20,25.6348876953125,26.45766241801709,25.55558417592212,26.447749241750167,44006500,-0.025988587887298187,,,0.03518947509412807,0.03170919085345957,,,17.59984793096858,25.88271142975057,0.9904251246972057,0.0022649736636797257,-0.026949333237462625,,0,,,,,2,1,,,,,,,-180395700.0,1.381590290695602,,,,0.011296191409902673,,,3,12,,,,0.0,0.0
2013-03-21,25.515932083129883,25.88271205082723,25.33749868753361,25.43662856183655,24336100,-0.00464037968866815,,,0.0213675660178643,-0.003108000171616918,,,17.00747144370271,25.57871427383024,0.9975455298484416,-0.025988587887298187,-0.001477107603192418,,0,,-0.09937011031316612,,,3,1,,,,,,,-204731800.0,0.9801455234093834,,,,0.010840119542918955,,,3,12,,,,0.0,0.0
2013-03-22,25.50601959228516,25.783582869645905,25.40688971531738,25.57540993893906,18456300,-0.00038848241218192303,,,0.014768794204269468,0.0027205478456893027,,,16.73091638776212,25.565497392416148,0.9976735128905165,-0.00464037968866815,-0.0144231925539684,,0,,-0.07975669104110017,,,4,1,,,,,,,-223188100.0,0.6533713312941654,,,,0.011143012594252785,,,3,12,,,,0.0,0.0
2013-03-25,24.91123962402344,25.575407272493955,24.86167563607957,25.52584328455009,39199000,-0.023319199850439287,,,0.028650988356520333,0.024671741342568408,,,17.484161819742074,25.116107510865657,0.9918431673079283,-0.00038848241218192303,-0.0060036919582945325,,0,,-0.10696522141418596,,,0,1,,,,,,,-262387100.0,0.6232466033255921,,,,0.01326380448857339,,,3,13,,,,0.0,0.0
2013-03-26,24.99054336547852,25.25819344058693,24.81211187281787,24.861675861210557,26957200,0.003183452234894135,,7.980062291540563,0.017850014753391423,-0.005156650753179595,,,17.109761018143885,25.020282892961106,0.9988113832441537,-0.023319199850439287,0.0022649736636797257,,1,,-0.09414308154359241,,,1,1,,,,,0.7300179401214546,0.029211767405181277,-235429900.0,0.726162335434184,,,,0.013487774718198325,,,3,13,,,-0.3773232384880669,0.0,0.0
2013-03-27,25.862882614135746,26.05122916377989,24.504807846825084,24.78237108362989,52297400,0.03490677397043962,,24.53987891951347,0.059793076434163074,-0.04177846478394044,,,17.772457233727703,25.47297320824691,1.0153067882065139,0.003183452234894135,-0.025988587887298187,,1,,-0.03655843094211075,,,2,1,,,,,0.7548003360135347,0.0291846948105076,-183132500.0,0.015171093324286566,,,,0.021065993972448602,,,3,13,,,-0.037467780115478855,0.0,0.0
2013-03-28,25.357324600219727,25.94218876863145,25.297847432968805,25.8628852487152,28585700,-0.01954762821525935,,25.104617762784855,0.025410462098081975,0.019937460140849968,,,17.168417185730924,25.532453600606658,0.9931409255402399,0.03490677397043962,-0.00464037968866815,,1,,-0.053994075998172186,,,3,1,,,,,0.740638973299801,0.02920808819450074,-211718200.0,0.03412464502339163,,,,0.023180419469554566,,,3,13,,,-0.20795299087797003,0.0,0.0
2013-04-01,25.30775451660156,25.66461932493895,25.059930840182314,25.406882474573575,22249300,-0.0019548625259045993,,21.935451235515714,0.023893407230577025,0.003916900565278876,,,16.9178211503527,25.344101560574273,0.9985658578629887,-0.01954762821525935,-0.00038848241218192303,,1,,-0.04202634909972436,,,0,2,,,,,0.7264775536092039,0.02870572942900343,-233967500.0,0.04829737786199173,,,,0.02318011568457116,,,4,14,,,-0.15742495135803014,0.0,0.0
2013-04-02,25.198711395263672,25.892618442818147,25.079755199120623,25.54566491904091,35153300,-0.004308684172922406,,22.92130568389169,0.03225812744735469,0.01376870103930992,,,17.375229083618052,25.39036167906748,0.9924518490037182,-0.0019548625259045993,-0.023319199850439287,,1,,-0.04039276879030007,,,1,2,,,,,0.7335583799885642,0.029110948114848573,-269120800.0,0.025663228108393943,,,,0.020018480416054175,,,4,14,,,-0.060744499437338506,-0.1681826920553769,0.0
2013-04-03,26.021488189697266,26.160268855003995,25.47627681249675,25.60514430303232,48195200,0.03265154243515167,,40.83882055929668,0.026285661969866113,-0.016000002906436033,,,17.690770009748622,25.886011285732668,1.0052335951827105,-0.004308684172922406,0.003183452234894135,,1,,-0.011299493168618002,,,2,2,,,,,0.7378068996326965,0.02835375495260174,-220925600.0,-0.06160772272340942,,32.858758267756116,,0.02418955013799712,,,4,14,,,0.1240366347477178,-0.06791071740821994,0.0
2013-04-04,26.8343563079834,26.99296336240093,25.88271398147821,26.388274676463556,82016800,0.031238340880441084,,50.28250826107403,0.041374176007061905,-0.016623526437529262,,,18.22243467448529,26.570011217287515,1.0099490018477633,0.03265154243515167,0.03490677397043962,,1,,0.04679047659296853,,,3,2,,,,,0.77462633266071,0.02886696158350754,-138908800.0,-0.2414847173494601,2.1750077037843214,25.74262934156056,,0.023218826269274132,,,4,14,,,0.2684039167954916,-0.006736378026025858,0.21377043833311984
2013-04-05,27.15156364440918,27.55799435632132,26.378354919671327,26.626178616727252,64566600,0.011820940766572807,0.018623534744167936,57.061051380069834,0.04344646415577225,-0.01935008364758067,,,17.983207822671943,27.02930430680061,1.004523214368407,0.031238340880441084,-0.01954762821525935,,0,,0.06410236380746248,,,4,2,,,,,0.82348290556117,0.030329115344733915,-74342200.0,-0.6488624974140154,1.7351920421520417,31.95643361728498,,0.017603218346153884,,,4,14,,,0.49713701736618543,0.1342816236228052,0.25224596164143054
2013-04-08,26.616270065307617,26.96322367960209,26.39818396393933,26.95331050310853,27256000,-0.01971501848335666,0.01851815643053999,53.20287108726274,0.021229109648960475,0.012662947774948368,,,17.12078427501211,26.659225902949682,0.9983887064913872,0.011820940766572807,-0.0019548625259045993,-0.021693499914364756,0,0.018560848646429515,0.04352895868386608,-0.060531737790526674,,0,2,,,,,0.8057808782774585,0.030273996931212972,-101598200.0,-0.5657593469178411,0.7495548692947196,31.26741985174703,,0.022663995752107514,,,4,15,,,0.10481032635525286,0.18672867916546182,0.24871030388280785
2013-04-09,26.358530044555664,26.655917741359968,26.190009845501255,26.348616869229534,21311100,-0.009683551456291295,0.018488735337083874,50.343643000757424,0.01767579205180093,-0.0003760898392047183,,,16.874738668624726,26.401485877138963,0.9983729767035386,-0.01971501848335666,-0.004308684172922406,0.006437815053012663,0,0.018129798929949963,0.058097888438137346,-0.04899857777764327,,1,2,,,,,0.790203299900983,0.02997903519525737,-122909300.0,-0.5432931977015526,0.5978477749414282,27.422337316865736,35.4210210181707,0.023638844889384284,,,4,15,,,-0.017540211515020027,0.19536953674992552,0.22064632838415393
2013-04-10,27.329998016357425,27.59764807282377,26.665830408132518,26.77487344389543,45949400,0.036855923686169856,0.020355581325612278,63.99341068673135,0.03409505057898448,-0.020311914114656895,,,17.643051370772405,27.19782549910457,1.004859672228473,-0.009683551456291295,0.03265154243515167,-0.011016316269760629,0,0.019978173911164,0.09361359681801029,-0.02025595290923754,,2,2,,,,,0.8142775703419213,0.029794278428215165,-76959900.0,-0.6516478850798639,1.2566376013578975,23.154590127434673,41.02235585768978,0.02472849937136949,,,4,15,,,0.10126842387980729,0.19081589457634346,0.18794744162699106
2013-04-11,27.776086807250977,27.85539033291588,27.012789191010548,27.24078659095399,33368500,0.01632231332862011,0.019658769216113606,67.70185355577135,0.030335487779559068,-0.01927198096735658,,,17.323122929131245,27.548088777059135,1.0082763647248627,0.036855923686169856,0.031238340880441084,-0.026949333237462625,0,0.020167997110757056,0.07397490147016872,0.00682726397823008,,3,2,,,,,0.8355195545284724,0.030080535113764087,-43591400.0,-0.686186908244834,0.9204391218831205,17.419345294697322,45.338553321315565,0.022324225242049675,,,4,15,,,0.025764002503043382,0.14228791171785377,0.17450126436261681
2013-04-12,27.16147804260254,27.756255320475997,27.002871020602264,27.756255320475997,28697400,-0.022127262523099267,0.020374176541808547,61.84391467779445,0.027737235016888875,0.021897824446098082,,,17.172317119137983,27.306868127893598,0.9946756953375204,0.01632231332862011,0.011820940766572807,-0.001477107603192418,0,0.01986482290273305,0.07114920327072594,0.011816718720813135,,4,2,,,,,0.8638425996942001,0.03180396141694758,-72288800.0,-0.02762092055387111,0.7904453764465325,4.782863297724617,49.01248301281653,0.025476949407109133,,,4,15,,,-0.1191315774338212,0.01903419275785246,0.20402532996586045
2013-04-15,26.289138793945312,27.240780903226412,26.130531775731797,26.92356686679938,30275400,-0.03211678124765416,0.02142941131554436,59.48156007674416,0.042232236521582756,0.024132706583761633,,,17.225846092567572,26.55348382430117,0.9900448079767998,-0.022127262523099267,-0.01971501848335666,-0.0144231925539684,0,0.021121720433157236,0.038778006823954936,-0.019230875966976813,,0,2,,,,,0.8921652776285024,0.03393664907098357,-102564200.0,0.009508042465319333,0.8354310815716273,6.278688989481417,52.767093896939365,0.02835728229241043,,,4,16,,,-0.13737366885376406,-0.029402606283950927,0.21325045974436374
2013-04-16,26.68566131591797,26.874007894199373,26.17018746522421,26.576618261532133,27365900,0.015083130911233145,0.02163763416545633,61.17646869989186,0.026374479562001153,-0.004086203939071654,,,17.124808307287637,26.576618891780516,1.0041029456975499,-0.03211678124765416,-0.009683551456291295,-0.0060036919582945325,0,0.021145486259791336,0.0590089666622311,0.010131514462432323,,1,2,,,,,0.9105751962860812,0.034122264593942214,-75198300.0,-0.3881805526514267,0.7544039102557653,10.832825699134439,56.59261019853939,0.028870764496393513,,,4,16,,,-0.1026142557398383,-0.046417415128914584,0.10231445888831009
2013-04-17,26.398181915283203,26.96322158709552,26.160271370136147,26.418008266731693,26440600,-0.01077280406250547,0.021794200913778924,53.8243509949893,0.030416875659702414,0.0007510498833638062,,,17.090411303400465,26.507224957504956,0.9958862897796142,0.015083130911233145,0.036855923686169856,0.0022649736636797257,0,0.0212463628999162,0.014476256040385937,0.005284986971843653,,2,2,,,,,0.8574701177149789,0.032482165645602565,-101638900.0,0.3206734935986144,0.7277058780869862,-10.16905969174205,57.891163242108654,0.02182389832284922,,,4,16,,,-0.29570201059463297,-0.12581150202380265,0.1289551110492208
2013-04-18,25.466367721557617,26.586530179903374,24.93106754254181,26.586530179903374,39059000,-0.03529842307761777,0.022475690499002426,50.73431482460919,0.06500584046621583,0.04398595318316731,,,17.480583907048867,25.661321814667602,0.992402803935121,-0.01077280406250547,0.01632231332862011,-0.025988587887298187,0,0.02262382297196482,-0.050978997622491695,-0.03239159536511915,,3,2,,,,,0.9296930678363301,0.036506700837800776,-140697900.0,2.2276527021384953,1.082362225976749,-16.967538731162158,57.93634389846217,0.020357631639713686,,,4,16,,,-0.6045293222075301,-0.25187016696591735,0.23246664018545632
2013-04-19,25.50601959228516,25.734016985789445,25.10950197515919,25.39697842929123,20380900,0.0015570289081303645,0.022452370131726178,51.33693653967272,0.024485004740573184,-0.004275114844925109,,,16.830108794791432,25.449846184411268,1.0022072199362957,-0.03529842307761777,-0.022127262523099267,-0.00464037968866815,1,0.021909543360010456,-0.06060586689131098,-0.005027059394955069,,4,2,,,,,0.9311092482558744,0.03650547059634143,-120317000.0,0.6643933776739965,0.5678863051543577,-10.506978138121731,57.36393241442246,0.021597553456765492,,,4,16,,,-0.4898481219973282,-0.32601347587861873,0.22832199425421384
2013-04-22,25.74392890930176,26.130535221580907,25.47628071248702,25.585321870172635,25687600,0.009327575247709774,0.022543455145433274,53.613694801802794,0.025413933956968424,-0.0061609492353678335,,,17.061518982086476,25.783581614456562,0.9984620947645005,0.0015570289081303645,-0.03211678124765416,-0.00038848241218192303,1,0.02197393806969609,-0.03277473341927384,0.008935469236595939,,0,2,,,,,0.9197800529270429,0.03572803732357687,-94629400.0,-0.07736422650398478,0.7086114263164914,-5.867865274941366,57.405014785876475,0.01998831369536482,,,4,17,,,-0.21950675248354423,-0.34244009260457475,0.19618753627523053
2013-04-23,25.75383949279785,26.100793064992317,25.54566848392809,25.991750027539663,25191500,0.0003849677930283235,0.021825599694887236,48.011791573026485,0.021555022163567868,0.009237866641529067,,,17.042017233691304,25.800100347239418,0.9982069506002322,0.009327575247709774,0.015083130911233145,-0.023319199850439287,1,0.02197275319230279,-0.022940981562160734,0.009716133856795484,,1,2,,,,,0.8907491330216075,0.034587042187271086,-69437900.0,-0.07660279554192051,0.7086168757229205,-13.164677126865378,57.17182964310338,0.017388050045574015,,,4,17,,,-0.3100236292355851,-0.38392196730372413,0.18270174628649677
2013-04-24,25.882709503173828,26.17018403053643,25.57540673400824,25.70427612514088,19729900,0.005003914480868676,0.021835070426044028,42.13112298502333,0.02297971533680643,-0.00689392190609213,,,16.797645860246725,25.8761000892395,1.0002554254277705,0.0003849677930283235,-0.01077280406250547,0.003183452234894135,1,0.02128381062873298,-0.05295604164762002,0.03899725159455891,,2,2,,,,,0.8539296984219984,0.032992283837875884,-49708000.0,-0.5109352816687311,0.560685728088778,-11.69322800996597,54.98560087293256,0.01794578215230032,,,4,17,,,-0.3448298704991249,-0.3937475392846225,0.16641369921938307
2013-04-25,25.912446975708008,26.170183865604056,25.773666300665862,25.843056638186937,17150000,0.0011489319744724114,0.020414477531806,39.242721296368586,0.01530220458569252,-0.0026778766816627506,,,16.65750878988526,25.952099047325976,0.9984721054144537,0.005003914480868676,-0.03529842307761777,0.03490677397043962,1,0.02128296932749533,-0.06709511834678106,0.03689009865639781,,3,2,,,,,0.7979924218711556,0.03079571846762465,-32558000.0,-0.7685964040685753,0.5129891699461332,-11.491593528240607,52.1396876469923,0.0037157526635816047,,,4,17,,,-0.1687657629213505,-0.30659482742738664,0.15206896888688573
2013-04-26,26.616270065307617,27.37956763860644,26.36844632520372,26.36844632520372,33018000,0.027161583398874534,0.02069503483879225,49.9999998819156,0.03798884332484444,-0.009310986832332944,,,17.31256345555646,26.788094676372594,0.993585784538214,0.0011489319744724114,0.0015570289081303645,-0.01954762821525935,1,0.020743415831949226,-0.0200728390568351,0.029130064982010095,,4,2,,,,,0.8489739206160544,0.031896802915395366,460000.0,-1.0038232336245085,0.9811274556415571,-1.3369366577571213,50.9552961674044,0.01096584012343069,,,4,17,,,-0.08386933465538593,-0.22539906995899814,0.1822087543718487
2013-04-29,26.74513816833496,27.17139531323776,26.626183829277743,26.92357156766591,29201100,0.004841704067141794,0.02067159286721422,53.33335074616367,0.02038544278696316,0.00667162002334338,,,17.18971697200713,26.847572436950156,0.9961845984825721,0.027161583398874534,0.009327575247709774,-0.0019548625259045993,1,0.02017680355974437,0.017345542505738942,0.05473028365552457,,0,2,,,,,0.8553465886211564,0.03198138604622534,29661100.0,-1.3134448701989023,0.858837947795796,-0.28034405563912657,50.34047523434636,0.01107494708510553,,,4,18,,,-0.04487704749821866,-0.19047312896193302,0.15610520023558158
2013-04-30,27.52825927734375,27.607562792131137,26.774874941491117,26.89382926829973,36245700,0.02928087729739115,0.021400852285131552,51.7667998188871,0.03024847456756329,-0.02304649933191264,,,17.40583133912879,27.303565670322,1.0082294602007233,0.004841704067141794,0.0003849677930283235,-0.004308684172922406,0,0.020950345329154758,0.03157493274949008,0.08774009402080973,,1,2,,,,,0.8284399168731615,0.030094162821075375,65906800.0,-1.9491473676479272,1.0643179790065167,3.7550082458606155,49.39950834624588,0.01355887711706761,,,4,18,,,0.08847934370382399,-0.11077253437405121,0.1532355381070309
2013-05-01,27.191219329833984,27.67695360252112,27.0722631102548,27.607563262243666,64567600,-0.012243416632854665,0.020650345918046965,44.684661521190584,0.02223844708585246,0.015311705126546943,,,17.983223310435594,27.313478680869967,0.9955238454806706,0.02928087729739115,0.005003914480868676,0.03265154243515167,0,0.021182155604787308,0.03004136485973885,0.07907181852738798,,2,2,,,,,0.8114462990418035,0.029842218151338702,1339200.0,-1.0269413374104772,1.8514564596210066,2.5535385361672525,48.48553939886601,0.017790334342216173,,,5,18,,,0.07286431226666301,-0.027233697820893642,0.17141665633410755
2013-05-02,28.717809677124023,28.767375551573984,27.736428051952156,27.76616757662213,104257000,0.05614276905982951,0.023087645898006052,62.132911938135756,0.03589923852873285,-0.033137697867673725,,,18.46236957226363,28.407204426883386,1.010934030873756,-0.012243416632854665,0.0011489319744724114,0.031238340880441084,0,0.023294515053797513,0.12767592108606896,0.10361903469050304,,3,2,,,,,0.8687991872626097,0.03025297531498985,105596200.0,-4.243325757110387,2.897157669268793,22.89019064176717,49.625399110218666,0.026018074473122484,,,5,18,,,0.3388693063383526,0.07429331603104698,0.2166109940153853
