timestamp,close,high,low,open,volume,return,volatility,rsi,hl_range,oc_range,ma_50,ma_200,log_volume,vwap,vwap_ratio,lag_1,lag_5,lag_20,target,volatility_21,momentum_10,momentum_21,momentum_63,day_of_week,quarter,bb_upper,bb_lower,bb_position,bb_width,atr_14,atr_ratio,obv,obv_change,volume_ratio,rsi_change,rsi_ma,vol_5,vol_63,vol_ratio,month,week_of_year,rolling_max,drawdown,sentiment_score,sentiment_ma5,sentiment_vol
2007-10-17,22.111862182617188,22.2185793930589,21.805938517563444,21.877083776852235,86092400,,,,0.018661516252568046,-0.010617758189064654,,,18.270931707663287,22.04546003107984,1.0030120556088977,,,,0,,,,,2,4,,,,,,,,,,,,,,,10,42,,,,0.0,0.0
2007-10-18,22.168779373168945,22.21858065039444,21.791710427488315,22.21146598836465,49208600,0.002574056860597862,,,0.019255468049033376,0.0019255284414697938,,,17.711578983256985,22.059690150350566,1.0049451838205736,,,,1,,,,,3,4,,,,,,,49208600.0,,,,,,,,10,42,,,,0.0,0.0
2007-10-19,21.464435577392575,22.11896929694414,21.421748979177742,22.11896929694414,75200200,-0.031771879900110545,,,0.03248258335293686,0.03049387053256381,,,18.135664461788835,21.668384617838154,0.9905877136647426,0.002574056860597862,,,1,,,,,4,4,,,,,,,-25991600.0,,,,,,,,10,42,,,,0.0,0.0
2007-10-22,21.706335067749023,21.841510919088478,21.428870060721167,21.428870060721167,58785100,0.011269781098331322,,,0.019010157959848655,-0.012782674097761926,,,17.889398996407873,21.658905349186224,1.0021898483694414,-0.031771879900110545,,,1,,,,,0,4,,,,,,,32793500.0,,,,,,,,10,43,,,,0.0,0.0
2007-10-23,21.983795166015625,22.140314966401338,21.848619344859586,21.848619344859586,49956200,0.012782447953586074,,,0.013268665366418598,-0.0061488846732435645,,,17.726657199497733,21.99090982575885,0.9996764726971464,0.011269781098331322,,,1,,,,,1,4,,,,,,,82749700.0,,,,,,,,10,43,,,,0.0,0.0
2007-10-24,22.232799530029297,22.268371466484385,21.69921234130859,21.9482199674414,77979200,0.01132672325834827,,,0.025599975585937563,-0.012799987792968781,,,18.171952695249253,22.066794445940758,1.007522845445233,0.012782447953586074,,,1,,,,,2,4,,,,,,,160728900.0,,,,,0.018888690073413893,,,10,43,,,,0.0,0.0
2007-10-25,22.759279251098636,22.92291373864832,22.4035543462231,22.460470276723875,169588700,0.023680316118455336,,,0.02281967661169009,-0.013129105323506121,,,18.948886657640504,22.69524911199002,1.00282130144475,0.01132672325834827,0.002574056860597862,,1,,,,,3,4,,,,,,,330317600.0,5.712599017244953,,,,0.021447511573469347,,,10,43,,,,0.0,0.0
2007-10-26,24.922090530395508,25.633540470414484,24.58771090408357,25.61931114593817,288121200,0.09502986695821969,,,0.04196395824240346,0.027976008460940182,,,19.478891786378803,25.04778063496452,0.994981986372335,0.023680316118455336,-0.031771879900110545,,1,,,,,4,4,,,,,,,618438800.0,-24.793794918358238,,,,0.03626787234650515,,,10,43,,,,0.0,0.0
2007-10-29,24.594820022583008,25.10706476066684,24.509446804224265,24.794025103408643,114655600,-0.013131743800278484,,,0.02429852936081022,0.008099473004588962,,,18.55744341910588,24.73711052915804,0.9942478930024057,0.09502986695821969,0.011269781098331322,,1,,,,,0,4,,,,,,,503783200.0,14.36228825834388,,,,0.04090166883339175,,,10,44,,,,0.0,0.0
2007-10-30,25.306272506713867,25.32050183026655,24.438302767761936,24.45253209131462,107297300,0.02892692377816153,,,0.03486088527145052,-0.03373631636870845,,,18.491114053510103,25.021692368247454,1.01137333695412,-0.013131743800278484,0.012782447953586074,,1,,,,,1,4,,,,,,,611080500.0,6.384685382545194,,,,0.04023536311556925,,,10,44,,,,0.0,0.0
